t_s,pivc_mmhg,psvc_mmhg,prpa_mmhg,qrpa_ml_per_s,plpa_mmhg,qlpa_ml_per_s
0.163,9.415435385884646,9.365709142728567,9.19417985449636,28.567700000000002,8.312757818945473,16.5897
0.164,9.418285457136427,9.36585914647866,9.194254856371408,28.568199999999997,8.31335783394585,16.592
0.165,9.421210530263256,9.366084152103802,9.19417985449636,28.5679,8.313807845196129,16.594
0.166,9.424135603390084,9.366459161479035,9.194029850746267,28.5671,8.314182854571364,16.5956
0.167,9.427060676516913,9.366984174604365,9.193804845121127,28.5658,8.31448286207155,16.5968
0.168,9.429910747768693,9.367734193354833,9.193579839495987,28.5644,8.314707867696692,16.5977
0.169,9.432610815270381,9.368709217730443,9.193354833870846,28.563200000000002,8.314782869571738,16.5983
0.17,9.435160879021975,9.369909247731192,9.193204830120752,28.5624,8.314857871446785,16.5987
0.171,9.437560939023474,9.371484287107176,9.193204830120752,28.5623,8.314932873321833,16.5989
0.17200000000000001,9.43981099527488,9.373359333983348,9.193354833870846,28.563200000000002,8.314932873321833,16.5991
0.17300000000000001,9.4417610440261,9.375534388359707,9.19372984324608,28.565199999999997,8.314932873321833,16.5993
0.17400000000000002,9.44341108527713,9.378084452111302,9.194329858246457,28.5686,8.31500787519688,16.5996
0.17500000000000002,9.444761119027975,9.380934523363083,9.195154878871971,28.5736,8.315082877071927,16.6
0.176,9.44588614715368,9.3841596039901,9.196279906997674,28.5803,8.31523288082202,16.6008
0.177,9.446636165904147,9.387609690242256,9.197779944498611,28.5888,8.315532888322208,16.6019
0.178,9.44701117527938,9.391434785869647,9.199579989499735,28.5993,8.315832895822394,16.6035
0.179,9.447086177154427,9.395484887122178,9.201680042001048,28.6116,8.316357908947722,16.6055
0.18,9.446711167779194,9.399834995874896,9.204155103877596,28.6259,8.316957923948099,16.6082
0.181,9.446111152778819,9.40433510837771,9.20693017325433,28.642,8.317782944573613,16.611400000000003
0.182,9.445061126528161,9.408985224630614,9.210005250131253,28.6598,8.318682967074176,16.6153
0.183,9.443711092777319,9.413860346508663,9.213380334508363,28.679299999999998,8.319807995199879,16.6199
0.184,9.442061051526288,9.418810470261755,9.216980424510613,28.7003,8.321083027075677,16.625200000000003
0.185,9.440111002775069,9.42376059401485,9.220805520138002,28.7225,8.322583064576614,16.6312
0.186,9.437860946523662,9.428860721518038,9.224780619515487,28.7458,8.324158103952596,16.6378
0.187,9.435310882772068,9.433885847146177,9.228905722643065,28.7699,8.325958148953722,16.6451
0.188,9.432610815270381,9.438910972774318,9.233180829520737,28.7945,8.327908197704941,16.653000000000002
0.189,9.429685742143553,9.44393609840246,9.23745593639841,28.8194,8.329933248331209,16.6615
