target_id,source_id,source_type,canonical_name,quantity,statistic,value,unit,source_file,source_columns,cycle_length_s,notes
nektar_closed_loop_1d.ivc_flow.beat_integral,nektar_closed_loop_1d,nektar_comparison_output,ivc_flow,flow,beat_integral,15.252513600000015,ml/beat,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""ivc_flow_ml_s"", ""time_s""]",0.8580000000000008,Periodic trapezoid integral over one beat.
nektar_closed_loop_1d.svc_pressure.mean,nektar_closed_loop_1d,nektar_comparison_output,svc_pressure,pressure,mean,8.623401424196443,mmHg,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""svc_pressure_mmHg""]",0.8580000000000008,Cycle mean pressure.
nektar_closed_loop_1d.svc_flow.beat_integral,nektar_closed_loop_1d,nektar_comparison_output,svc_flow,flow,beat_integral,20.177543310000026,ml/beat,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""svc_flow_ml_s"", ""time_s""]",0.8580000000000008,Periodic trapezoid integral over one beat.
nektar_closed_loop_1d.rpa_pressure.mean,nektar_closed_loop_1d,nektar_comparison_output,rpa_pressure,pressure,mean,8.577487951184793,mmHg,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""rpa_pressure_mmHg""]",0.8580000000000008,Cycle mean pressure.
nektar_closed_loop_1d.rpa_flow.beat_integral,nektar_closed_loop_1d,nektar_comparison_output,rpa_flow,flow,beat_integral,22.298388100000025,ml/beat,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""rpa_flow_ml_s"", ""time_s""]",0.8580000000000008,Periodic trapezoid integral over one beat.
nektar_closed_loop_1d.lpa_pressure.mean,nektar_closed_loop_1d,nektar_comparison_output,lpa_pressure,pressure,mean,7.925917291288925,mmHg,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""lpa_pressure_mmHg""]",0.8580000000000008,Cycle mean pressure.
nektar_closed_loop_1d.lpa_flow.beat_integral,nektar_closed_loop_1d,nektar_comparison_output,lpa_flow,flow,beat_integral,13.458044500000016,ml/beat,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""lpa_flow_ml_s"", ""time_s""]",0.8580000000000008,Periodic trapezoid integral over one beat.
nektar_closed_loop_1d.mitral_valve_flow.beat_integral,nektar_closed_loop_1d,nektar_comparison_output,mitral_valve_flow,flow,beat_integral,35.70093828600001,ml/beat,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""mitral_valve_flow_ml_s"", ""time_s""]",0.8580000000000008,Periodic trapezoid integral over one beat.
nektar_closed_loop_1d.ventricle_pressure.mean,nektar_closed_loop_1d,nektar_comparison_output,ventricle_pressure,pressure,mean,28.72226468065268,mmHg,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""ventricle_pressure_mmHg""]",0.8580000000000008,Cycle mean pressure.
nektar_closed_loop_1d.atrium_pressure.mean,nektar_closed_loop_1d,nektar_comparison_output,atrium_pressure,pressure,mean,4.108471157342657,mmHg,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""atrium_pressure_mmHg""]",0.8580000000000008,Cycle mean pressure.
nektar_closed_loop_1d.rpa_flow_fraction.rpa_over_rpa_plus_lpa,nektar_closed_loop_1d,nektar_comparison_output,rpa_flow_fraction,dimensionless,rpa_over_rpa_plus_lpa,0.6236189261229601,1,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""rpa_flow_ml_s"", ""lpa_flow_ml_s"", ""time_s""]",0.8580000000000008,Pulmonary flow split from beat-integrated RPA and LPA flows.
nektar_closed_loop_1d.lpa_flow_fraction.lpa_over_rpa_plus_lpa,nektar_closed_loop_1d,nektar_comparison_output,lpa_flow_fraction,dimensionless,lpa_over_rpa_plus_lpa,0.37638107387704,1,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""rpa_flow_ml_s"", ""lpa_flow_ml_s"", ""time_s""]",0.8580000000000008,Pulmonary flow split from beat-integrated RPA and LPA flows.
nektar_closed_loop_1d.rpa_lpa_flow_ratio.rpa_over_lpa,nektar_closed_loop_1d,nektar_comparison_output,rpa_lpa_flow_ratio,dimensionless,rpa_over_lpa,1.656881733449462,1,comparison/04_aorta_tcpc_closedloop_1d_last_cycle_clinical.csv,"[""rpa_flow_ml_s"", ""lpa_flow_ml_s"", ""time_s""]",0.8580000000000008,RPA/LPA flow ratio from beat-integrated flows.
