time_s,upper_body_arterial_pressure_mmHg,upper_body_venous_pressure_mmHg,lower_body_arterial_pressure_mmHg,lower_body_venous_pressure_mmHg
0.489,4.934622,1.339826,6.378353,4.778132
0.49,4.935861,1.342645,6.378161,4.781904
0.491,4.937082,1.345458,6.378012,4.785633
0.492,4.938283,1.348264,6.377901,4.789322
0.493,4.939464,1.351065,6.37782,4.792969
0.494,4.940624,1.353859,6.377763,4.796577
0.495,4.941761,1.356648,6.377726,4.800145
0.496,4.942877,1.35943,6.377701,4.803675
0.497,4.943969,1.362206,6.377684,4.807167
0.498,4.94504,1.364976,6.377672,4.810622
0.499,4.946089,1.367741,6.377658,4.81404
0.5,4.947115,1.370499,6.377642,4.817421
0.501,4.948121,1.373251,6.377619,4.820766
0.502,4.949105,1.375998,6.377587,4.824076
0.503,4.95007,1.378738,6.377544,4.82735
0.504,4.951017,1.381473,6.377489,4.830589
0.505,4.951945,1.384202,6.377421,4.833794
0.506,4.952858,1.386925,6.377339,4.836965
0.507,4.953755,1.389642,6.377244,4.840101
0.508,4.954638,1.392354,6.377135,4.843203
0.509,4.95551,1.39506,6.377013,4.846272
0.51,4.956371,1.39776,6.376878,4.849308
0.511,4.957222,1.400455,6.376732,4.852311
0.512,4.958067,1.403143,6.376574,4.855281
0.513,4.958907,1.405826,6.376408,4.858219
0.514,4.959742,1.408504,6.376233,4.861125
0.515,4.960577,1.411176,6.37605,4.863999
0.516,4.961411,1.413842,6.375862,4.866842
0.517,4.962247,1.416502,6.375669,4.869654
0.518,4.963087,1.419157,6.375473,4.872435
0.519,4.963932,1.421807,6.375275,4.875186
0.52,4.964785,1.424451,6.375076,4.877907
0.521,4.965647,1.427089,6.374878,4.880599
0.522,4.966519,1.429722,6.374682,4.883261
0.523,4.967403,1.43235,6.374489,4.885895
0.524,4.968301,1.434972,6.3743,4.888501
0.525,4.969213,1.437589,6.374118,4.891078
0.526,4.970141,1.4402,6.373942,4.893628
0.527,4.971086,1.442806,6.373776,4.896151
0.528,4.972048,1.445407,6.37362,4.898647
0.529,4.973028,1.448002,6.373475,4.901117
0.53,4.974026,1.450592,6.373344,4.903562
0.531,4.975042,1.453177,6.373227,4.90598
0.532,4.976077,1.455757,6.373127,4.908374
0.533,4.97713,1.458331,6.373044,4.910744
0.534,4.978201,1.460901,6.372981,4.913089
0.535,4.979288,1.463465,6.372938,4.915411
0.536,4.980391,1.466024,6.372917,4.917709
0.537,4.981509,1.468578,6.372919,4.919985
0.538,4.982641,1.471126,6.372944,4.922239
