time_s,ascending_aorta_pressure_mmHg,ascending_aorta_flow_ml_s,aortic_arch_pressure_mmHg,descending_aorta_pressure_mmHg,descending_aorta_flow_ml_s,ivc_pressure_mmHg,ivc_flow_ml_s,svc_pressure_mmHg,svc_flow_ml_s,rpa_pressure_mmHg,rpa_flow_ml_s,lpa_pressure_mmHg,lpa_flow_ml_s,ventricle_volume_ml,mitral_valve_flow_ml_s,pulmonary_inflow_qin5_ml_s,ventricle_pressure_mmHg,atrium_pressure_mmHg,atrium_volume_ml
0.7350000000000001,42.94727368184204,-0.00203182,42.947198679966995,42.96264906622665,-6.22032,9.017400435010874,17.567600000000002,8.673591839795995,14.8861,8.820070501762544,23.7665,8.312232805820145,14.7033,70.139522,50.399018,38.469815,3.876537,4.733346,17.798752
0.736,42.93909847746193,-0.00203194,42.939023475586886,42.954473861846544,-6.21687,9.005700142503562,17.5809,8.677416935423386,14.2625,8.826070651766294,23.8393,8.304807620190504,14.698400000000001,70.190173,50.896656,38.53772,3.879829,4.726875,17.786608
0.7370000000000001,42.93092327308182,-0.00203206,42.93084827120678,42.94629865746643,-6.21344,8.995274881872046,17.5946,8.681092027300682,13.6537,8.829595739893497,23.898200000000003,8.299332483312082,14.701900000000002,70.241319,51.388964,38.600129,3.883153,4.720257,17.774035
0.738,42.922748068701715,-0.00203218,42.92267306682667,42.93812345308632,-6.21,8.985899647491186,17.608,8.684767119177979,13.0672,8.830270756768918,23.9418,8.295432385809644,14.712200000000001,70.292954,51.875657,38.653963,3.886509,4.713493,17.76103
0.7390000000000001,42.91449786244656,-0.0020323000000000003,42.91449786244656,42.92994824870622,-6.20657,8.977124428110702,17.620300000000004,8.688217205430135,12.5095,8.82809570239256,23.9692,8.292507312682817,14.7271,70.345073,52.356457,38.696292,3.889896,4.706582,17.74759
0.74,42.90632265806644,-0.00203242,42.9062476561914,42.92177304432611,-6.20315,8.968799219980498,17.631100000000004,8.691592289807243,11.9868,8.822920573014324,23.980300000000003,8.290032250806268,14.744200000000001,70.397669,52.831086,38.72449,3.893315,4.699525,17.733708
0.7410000000000001,42.898147453686335,-0.00203254,42.898072451811295,42.91359783994599,-6.19973,8.960549013725343,17.6399,8.694742368559213,11.5042,8.814820370509262,23.975500000000004,8.287332183304581,14.7609,70.450737,53.299267,38.736379,3.896764,4.692319,17.719374
0.742,42.88997224930623,-0.00203266,42.889897247431186,42.905422635565884,-6.19632,8.952073801845044,17.646600000000003,8.697592439810995,11.0664,8.804095102377557,23.9557,8.283732093302332,14.7747,70.50427,53.760725,38.730358,3.900243,4.684962,17.704578
0.7430000000000001,42.881797044926124,-0.00203278,42.88172204305107,42.897247431185775,-6.19291,8.943148578714467,17.651200000000003,8.700292507312682,10.6776,8.790744768619215,23.9221,8.278706967674191,14.7835,70.558261,54.215185,38.705508,3.903752,4.677451,17.689309
0.744,42.87362184054601,-0.0020329,42.87354683867096,42.88914722868071,-6.1895,8.933623340583512,17.654200000000003,8.702692567314182,10.3411,8.775144378609465,23.8761,8.271881797044927,14.7856,70.612703,54.662372,38.661664,3.907291,4.669781,17.673555
