time_s,ascending_aorta_pressure_mmHg,ascending_aorta_flow_ml_s,aortic_arch_pressure_mmHg,descending_aorta_pressure_mmHg,descending_aorta_flow_ml_s,ivc_pressure_mmHg,ivc_flow_ml_s,svc_pressure_mmHg,svc_flow_ml_s,rpa_pressure_mmHg,rpa_flow_ml_s,lpa_pressure_mmHg,lpa_flow_ml_s
0.347,59.97127428185704,77.4574,60.00367509187729,61.44123603090077,50.563900000000004,8.908722718067951,18.2608,8.806795169879246,23.152900000000002,8.75676891922298,26.024500000000003,8.115277881947048,15.7462
0.3480000000000001,59.8161704042601,76.4448,59.87294682367058,61.31133278331958,50.0286,8.908722718067951,18.2701,8.806945173629341,23.1426,8.75676891922298,26.0247,8.115277881947048,15.7463
0.349,59.65551638790969,75.3828,59.73996849921247,61.18247956198904,49.4979,8.908722718067951,18.2794,8.807095177379434,23.1324,8.756843921098026,26.025,8.115352883822094,15.7465
0.3500000000000001,59.48886222155553,74.2676,59.60399009975249,61.05475136878422,48.9728,8.908722718067951,18.2886,8.80717017925448,23.122200000000003,8.756843921098026,26.0252,8.115427885697141,15.7467
0.351,59.31575789394734,73.0964,59.464411610290256,60.928598214955365,48.4542,8.908722718067951,18.2978,8.807320183004574,23.112099999999998,8.756918922973073,26.0254,8.115427885697141,15.7469
0.3520000000000001,59.13575339383484,71.8669,59.32070801770043,60.804020100502505,47.9425,8.908722718067951,18.307,8.807470186754667,23.1021,8.756918922973073,26.0257,8.115502887572188,15.747000000000002
0.353,58.948698717467934,70.5779,59.17220430510763,60.68109202730067,47.438100000000006,8.908722718067951,18.3161,8.807620190504762,23.0921,8.75699392484812,26.025900000000004,8.115502887572188,15.747200000000001
0.3540000000000001,58.754293857346426,69.229,59.018375459386476,60.559888997224924,46.9411,8.908647716192904,18.3251,8.807695192379809,23.082300000000004,8.75699392484812,26.026100000000003,8.115577889447236,15.747300000000001
0.355,58.55246381159529,67.8207,58.85869646741168,60.44033600840021,46.450900000000004,8.908647716192904,18.334100000000003,8.807845196129902,23.0725,8.757068926723166,26.0263,8.115577889447236,15.747500000000002
0.3560000000000001,58.343208580214494,66.3544,58.69264231605789,60.322133053326326,45.967000000000006,8.908647716192904,18.3431,8.807995199879995,23.0628,8.757068926723166,26.0265,8.115652891322283,15.747699999999998
0.357,58.126678166954164,64.8323,58.51991299782494,60.205130128253195,45.4883,8.908647716192904,18.352,8.80814520363009,23.0531,8.757143928598213,26.0267,8.115652891322283,15.7478
0.3580000000000001,57.903022575564385,63.2576,58.340133503337576,60.08895222380559,45.0134,8.908572714317858,18.3609,8.808295207380183,23.0436,8.757143928598213,26.0269,8.11572789319733,15.748
0.359,57.67254181354533,61.634,58.15307882697067,59.97307432685817,44.5405,8.908572714317858,18.3697,8.808370209255232,23.034200000000002,8.757218930473261,26.0271,8.11572789319733,15.748099999999999
0.3600000000000001,57.435535888397204,59.966,57.95852396309907,59.85704642616065,44.0678,8.90849771244281,18.3784,8.808520213005325,23.024900000000002,8.757218930473261,26.0273,8.115802895072376,15.7483
0.361,57.19237980949523,58.2583,57.75654391359784,59.74019350483761,43.5929,8.90849771244281,18.3871,8.808670216755418,23.015700000000002,8.757218930473261,26.027500000000003,8.115802895072376,15.7484
0.3620000000000001,56.94367359183979,56.5163,57.546988674716864,59.62199054976374,43.1135,8.908422710567763,18.3958,8.808820220505512,23.006600000000002,8.757293932348308,26.027600000000003,8.115877896947422,15.7485
0.363,56.68971724293107,54.745400000000004,57.33015825395634,59.50168754218855,42.6268,8.908422710567763,18.4044,8.808895222380558,22.997600000000002,8.757293932348308,26.0278,8.115877896947422,15.748700000000001
0.3640000000000001,56.43118577964449,52.95120000000001,57.106052651316276,59.378534463361575,42.1302,8.908347708692716,18.4129,8.809045226130653,22.9887,8.757368934223354,26.028,8.115877896947422,15.748800000000001
0.365,56.168454211355275,51.1392,56.87504687617189,59.25193129828246,41.6209,8.908347708692716,18.421400000000002,8.809195229880746,22.9799,8.757368934223354,26.0281,8.115952898822469,15.749000000000002
0.3660000000000001,55.902122553063826,49.3146,56.637440936023395,59.12097802445061,41.09630000000001,8.90827270681767,18.429900000000004,8.80934523363084,22.971300000000003,8.757368934223354,26.0283,8.115952898822469,15.749100000000002
0.367,55.6326408160204,47.4823,56.393609840246,58.985149628740714,40.5537,8.90827270681767,18.4382,8.809495237380933,22.9627,8.757443936098403,26.0285,8.116027900697516,15.749200000000002
0.3680000000000001,55.360459011475285,45.6469,56.14400360009,58.843696092402304,39.990700000000004,8.908197704942623,18.4466,8.80957023925598,22.954300000000003,8.757443936098403,26.0286,8.116027900697516,15.7493
0.369,55.085877146928674,43.8121,55.88907222680566,58.69609240231005,39.405100000000004,8.908122703067576,18.454800000000002,8.809720243006074,22.9461,8.757443936098403,26.0288,8.116102902572562,15.7495
0.3700000000000001,54.80934523363083,41.9812,55.62926573164329,58.54181354533863,38.795,8.908122703067576,18.4631,8.809870246756168,22.9379,8.75751893797345,26.028900000000004,8.116102902572562,15.7496
0.371,54.53101327533188,40.156600000000005,55.365184129603236,58.38040951023775,38.158699999999996,8.90804770119253,18.4712,8.810020250506263,22.9299,8.75751893797345,26.029100000000003,8.116102902572562,15.7497
0.3720000000000001,54.251181279531984,38.33990000000001,55.097277431935794,58.21143028575714,37.495000000000005,8.907972699317483,18.479300000000002,8.81009525238131,22.922,8.75751893797345,26.029200000000003,8.11617790444761,15.7498
0.373,53.9697742443561,36.532000000000004,54.82599564989124,58.03480087002174,36.803000000000004,8.907972699317483,18.487299999999998,8.810245256131402,22.9143,8.757593939848496,26.0294,8.11617790444761,15.7499
0.3740000000000001,53.686942173554336,34.732800000000005,54.551713792844815,57.850371259281474,36.082300000000004,8.907897697442436,18.4953,8.810395259881497,22.9066,8.757593939848496,26.0295,8.11617790444761,15.75
0.375,53.402535063376575,32.9418,54.2748818720468,57.65799144978624,35.3327,8.907897697442436,18.5032,8.81054526363159,22.8991,8.757593939848496,26.0296,8.116252906322657,15.750100000000002
0.3760000000000001,53.1164779119478,31.157400000000003,53.99579989499737,57.45781144528613,34.55480000000001,8.907822695567388,18.5111,8.810620265506637,22.8918,8.757668941723542,26.0298,8.116252906322657,15.750300000000001
0.377,52.82854571364284,29.3776,53.71469286732167,57.25005625140628,33.7491,8.907747693692341,18.518900000000002,8.81077026925673,22.884600000000002,8.757668941723542,26.0299,8.116252906322657,15.7504
0.3780000000000001,52.538438460961515,27.599700000000002,53.431860796519906,57.03495087377184,32.916900000000005,8.907747693692341,18.526600000000002,8.810920273006824,22.8775,8.757668941723542,26.0301,8.116327908197706,15.750500000000002
0.379,52.2459311482787,25.8208,53.14737868446711,56.812870321758034,32.0597,8.907672691817295,18.534200000000002,8.811070276756919,22.870600000000003,8.757743943598589,26.0302,8.116327908197706,15.750600000000002
0.3800000000000001,51.95064876621915,24.0378,52.861246531163275,56.584264606615164,31.179100000000002,8.907597689942248,18.5418,8.811145278631965,22.8637,8.757743943598589,26.0304,8.116327908197706,15.750700000000002
0.381,51.65221630540763,22.2472,52.57346433660841,56.34973374334358,30.2772,8.907597689942248,18.5493,8.811295282382059,22.8571,8.757743943598589,26.030500000000004,8.116402910072752,15.7508
0.3820000000000001,51.35048376209405,20.445800000000002,52.28403210080251,56.109727743193574,29.3562,8.907522688067202,18.556700000000003,8.811445286132152,22.8505,8.757818945473636,26.030700000000003,8.116402910072752,15.7509
0.383,51.04492612315307,18.6307,51.992649816245404,55.86499662491561,28.418400000000002,8.907447686192155,18.5641,8.811520288007198,22.8441,8.757818945473636,26.030800000000003,8.116402910072752,15.751
0.3840000000000001,50.73546838670966,16.799300000000002,51.69924248106202,55.61599039975999,27.466200000000004,8.907447686192155,18.5714,8.811670291757292,22.8379,8.757818945473636,26.031,8.116477911947799,15.7511
