model,component,node,total_C_m3_per_Pa,total_C_ml_per_mmHg,mean_pressure_mmHg,estimated_stored_volume_ml,category
quasi_0d_1d,quasi_svc_c_01,quasi_svc_p_01,2.0274528968451965e-10,0.0270304707723521,8.891246764534113,0.24033458579850955,quasi_chain
quasi_0d_1d,quasi_svc_c_02,quasi_svc_p_02,1.570000406379691e-10,0.02093160840543436,8.630788719727748,0.1806562897113814,quasi_chain
quasi_0d_1d,quasi_svc_c_03,tcpc,1.1711956711020705e-10,0.015614651470172738,8.158720272978666,0.12739557350519445,quasi_chain
quasi_0d_1d,quasi_ivc_c_01,quasi_ivc_p_01,9.360200495268161e-10,0.12479235710205502,8.7722590961187,1.0947108897145954,quasi_chain
quasi_0d_1d,quasi_ivc_c_02,quasi_ivc_p_02,8.275151338806473e-10,0.11032623088233334,8.675832439924244,0.9571718928635197,quasi_chain
quasi_0d_1d,quasi_ivc_c_03,quasi_ivc_p_03,7.256988774181462e-10,0.09675185216930683,8.55035733320837,0.8272629086973247,quasi_chain
quasi_0d_1d,quasi_ivc_c_04,quasi_ivc_p_04,6.30571280139313e-10,0.08406922096297545,8.384016405846445,0.7048377277803161,quasi_chain
quasi_0d_1d,quasi_ivc_c_05,tcpc,5.42132342044148e-10,0.07227833726333928,8.158720272978666,0.5896987355275957,quasi_chain
quasi_0d_1d,quasi_rpa_c_01,quasi_rpa_p_01,6.343341201121679e-11,0.008457089148792602,8.013177908222593,0.0677681599349739,quasi_chain
quasi_0d_1d,quasi_rpa_c_02,quasi_rpa_p_02,6.343341201121679e-11,0.008457089148792602,7.867635678262127,0.06653729632128418,quasi_chain
